,cty_fips,czone,shnr_pres2000,shnr_pres2008,shnr_pres2016,totvote_2000pres,d_imp_usch_pd_0008,d_imp_otch_lag_pd_0008,l_shind_manuf_cbp,l_sh_routine33,l_task_outsource,shnr_pres1992,shnr_pres1996,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_sh_pop_f,l_sh_pop_edu_c,l_sh_fborn,l_sh_pop_age_1019,l_sh_pop_age_2029,l_sh_pop_age_3039,l_sh_pop_age_4049,l_sh_pop_age_5059,l_sh_pop_age_6069,l_sh_pop_age_7079,l_sh_pop_age_8000,l_sh_pop_white,l_sh_pop_black,l_sh_pop_asian,l_sh_pop_hispanic
2443,8041.0,28401.0,67.49393,59.553528,62.398666,200757.0,0.832827865062046,1.55216419285414,0.12095625,3062.927,0.15752569,65.251015,64.71555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49780726,0.6838056,0.06443438,0.15283723,0.14929904,0.16409023,0.16018835,0.10266594,0.05857671,0.039309073,0.019933105,0.8118581,0.06513467,0.025340037,0.112976834
2444,8027.0,28401.0,74.10522,64.70648,72.11673,2111.0,0.832827865062046,1.55216419285414,0.12095625,3062.927,0.15752569,65.49101,69.066605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48958033,0.622449,0.016557237,0.12560663,0.058235798,0.114473306,0.1924065,0.17527834,0.13302884,0.06765629,0.018555524,0.9588924,0.0037111049,0.002854696,0.025121324
2445,8043.0,28401.0,65.19215,64.92446,74.05574,16056.0,0.832827865062046,1.55216419285414,0.12095625,3062.927,0.15752569,52.673798,58.1876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.42752194,0.4378876,0.0148878535,0.121096544,0.12709936,0.17100444,0.16905408,0.118127644,0.083952755,0.065575905,0.03931087,0.8952432,0.0533969,0.0050276304,0.10349984
2446,8089.0,28502.0,57.944996,55.327576,62.6114,7312.0,0.4477395023769688,1.0028075482821848,0.10703675,3012.4019,-0.6464582,47.237255,49.779396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51129925,0.44981778,0.04874206,0.16281818,0.10944808,0.11998425,0.1439614,0.1133376,0.09275762,0.07345773,0.046428043,0.790163,0.0075820982,0.0069912854,0.3762493
2447,8099.0,28502.0,68.980095,67.17604,74.859085,4524.0,0.4477395023769688,1.0028075482821848,0.10703675,3012.4019,-0.6464582,57.257854,58.93366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4974798,0.4310123,0.10605538,0.17137334,0.1358144,0.12994546,0.13836913,0.099012636,0.06883933,0.056549057,0.03769937,0.78567976,0.0029689982,0.0037285092,0.32907546
2448,8011.0,28502.0,58.32637,57.410442,66.81478,1963.0,0.4477395023769688,1.0028075482821848,0.10703675,3012.4019,-0.6464582,43.522713,46.712223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43664557,0.4211048,0.044348117,0.14388129,0.1348783,0.14738247,0.14671557,0.10986996,0.085195065,0.07152384,0.04168056,0.7952651,0.03651217,0.0056685563,0.30243415
2449,8101.0,28502.0,44.137283,42.40763,50.26709,53946.0,0.4477395023769688,1.0028075482821848,0.10703675,3012.4019,-0.6464582,34.75298,37.674217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51060283,0.5034861,0.029645443,0.14803636,0.1250212,0.13557453,0.14781724,0.10985213,0.08245448,0.0715972,0.039597943,0.7947156,0.01897902,0.006545465,0.3796511
2450,8071.0,28503.0,44.20214,46.419853,58.336002,6094.0,0.11423988334499313,0.07437710314701462,0.03132374,2505.9102,-0.7423154,31.130188,34.538284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.51068586,0.49654633,0.02347603,0.14730059,0.09692904,0.11889262,0.1516407,0.13033472,0.09423292,0.081146844,0.05504044,0.82633,0.0039455513,0.0037482737,0.41454592
2451,8061.0,28504.0,77.52809,78.50381,88.89237,968.0,0.04360231119977698,0.17458940510630327,0.05486047,2334.5564,-0.8412376,61.9408,69.0516,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5078341,0.014180025,0.15351418,0.10357583,0.11713933,0.1541307,0.11405672,0.09001233,0.07583231,0.062268805,0.96115905,0.0049321824,0.0,0.031442665
2452,8063.0,28504.0,75.85388,72.909424,84.6983,3458.0,0.04360231119977698,0.17458940510630327,0.05486047,2334.5564,-0.8412376,66.062805,65.84353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.47122705,0.4535592,0.05792036,0.1562851,0.10885033,0.14804643,0.1500437,0.11072276,0.08226189,0.063537635,0.045562353,0.8727999,0.017351143,0.0032455374,0.13668706
2453,20039.0,28601.0,74.75118,77.609375,87.17439,1759.0,0.05319073134577934,0.15354550966512193,0.03593001,2438.2764,-1.1859479,62.009094,75.063416,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5063364,0.46430013,0.012384793,0.15034562,0.06394009,0.10887097,0.15581797,0.11059908,0.110023044,0.108294934,0.08640553,0.97868663,0.005184332,0.0014400922,0.009792627
2454,20147.0,28603.0,77.10099,80.03448,88.15734,2792.0,-0.5915660349542833,0.004074974804638032,0.21588098,2438.2764,-1.1859479,65.19793,72.56211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5132478,0.4751315,0.0038326946,0.14897516,0.08015331,0.11864689,0.1431428,0.12181303,0.101483084,0.088485256,0.08048659,0.98250294,0.0024995834,0.00449925,0.0066655558
2455,20179.0,28604.0,80.113815,81.34977,90.41096,1489.0,0.07572722733134185,0.07361595207250815,0.03797007,2438.2764,-1.1859479,68.04761,79.95471,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49982226,0.511811,0.004265908,0.17063633,0.0696765,0.12051191,0.15890509,0.1070032,0.10913616,0.093139,0.053679347,0.98649126,0.0014219694,0.0007109847,0.014575186
